user	spName	traffic	times
0a7fa5dd	limbic		2990	2
0a7fa5dd	localytics		1636	1
0a7fa5dd	qq		1280	1
0ad5a3ef	apple		9562	2
0ad5a3ef	google-analytics		12972	2
0ad5a3ef	immomo		606268	10
0ad5a3ef	qpic		33487	3
0ad5a3ef	qq		98227	18
0ad5a3ef	scorecardresearch		1825	1
0ad5a3ef	simsimi		5792	3
0ad5a3ef	sina		771524	71
0ad5a3ef	sinaimg		209089	32
0ad5a3ef	tapulous		11144	4
0ad5a3ef	yahooapis		13237	3
0ad5a3ef	yoloho		25783	15
0b4e8824	3g		1078	1
0b4e8824	3gogo		20742	8
0b4e8824	adsmogo		7109	6
0b4e8824	cooguo		8878	3
0b4e8824	gtimg		1146360	12
0b4e8824	qlogo		616015	99
0b4e8824	qpic		21960	4
0b4e8824	qq		423475	64
0b4e8824	soso		2923316	345
0b4e8824	umeng		22122	15
0b4e8824	vpon		3264	2
0b4e8824	wapx		123063	15
0b88229c	apple		53565	1
0b88229c	sina		49389	14
0b88229c	sinaimg		112782	66
0b88229c	yahoo		0	2
0b8f2392	edgesuite		15599	1
0b8f2392	flurry		7701	5
0b8f2392	fun-machine		2474	1
0b8f2392	google-analytics		11559	5
0b8f2392	ijinshan		2392	2
0b8f2392	itunes		1426	1
0b8f2392	monternet		6536	5
0b8f2392	qlogo		6009	1
0b8f2392	qq		75113	50
0b8f2392	simplygame		2448	1
0b8fb51c	apple		7867	1
0b8fb51c	baidu		93108	15
0b8fb51c	kuwo		34653	8
0b8fb51c	nintendo		8588	1
0b8fb51c	sina		122680	13
0b8fb51c	sogou		104932	9
0b8fb51c	uc		1786	1
0b98ba27	91		549332	79
0b98ba27	91rb		2342776	51
0b98ba27	adsage		95826	30
0b98ba27	appget		12608	8
0b98ba27	apple		4266	1
0b98ba27	babidou		413023	1
0b98ba27	cnzz		1401	1
0b98ba27	didilove		1654	1
0b98ba27	doubleclick		4236	4
0b98ba27	flurry		28302	19
0b98ba27	gtimg		8460	2
0b98ba27	ireadercity		2122	1
0b98ba27	itunes		1445	1
0b98ba27	meilishuo		18546905	589
